place_id,種別,名称,カテゴリ,住所,latitude,longitude,座標ステータス,座標情報源,営業日,営業時間,定休日,朝食向き,おやつ向き,昼食向き,夕食向き,休憩向き,体験・できること,推奨滞在時間_分,Google評価,口コミ件数,価格帯,電話番号,Googleマップ検索URL,情報源,情報取得日,確認ステータス,営業時間_曜日別,今週営業時間_Google,24時間,家族向き,雨天向き,屋内外,トイレあり,トイレ一般利用,多目的トイレ,自転車貸出,Google属性確認日,トイレ利用条件
S001,生活サービス,下諏訪駅公衆便所,公衆トイレ,長野県諏訪郡下諏訪町5315-16,,,要座標確認,,毎日,,,,,,,,トイレを利用する,5-10,,,,,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E9%A7%85%E5%85%AC%E8%A1%86%E4%BE%BF%E6%89%80,下諏訪町公共施設個別施設計画,2026-08-26,公式情報確認済,,,要確認,○,○,屋内,○,○,オストメイト対応,×,,
S002,生活サービス,秋宮公衆便所,公衆トイレ,長野県諏訪郡下諏訪町5814,,,要座標確認,,毎日,,,,,,,,トイレを利用する,5-10,,,,,https://www.google.com/maps/search/?api=1&query=%E7%A7%8B%E5%AE%AE%E5%85%AC%E8%A1%86%E4%BE%BF%E6%89%80,下諏訪町公共施設個別施設計画,2026-08-26,公式情報確認済,,,要確認,○,○,屋内,○,○,オストメイト対応,×,,
S003,生活サービス,春宮西公衆便所,公衆トイレ,長野県諏訪郡下諏訪町165-1,,,要座標確認,,毎日,,,,,,,,トイレを利用する,5-10,,,,,https://www.google.com/maps/search/?api=1&query=%E6%98%A5%E5%AE%AE%E8%A5%BF%E5%85%AC%E8%A1%86%E4%BE%BF%E6%89%80,下諏訪町公共施設個別施設計画,2026-08-26,公式情報確認済,,,要確認,○,○,屋内,○,○,オストメイト・ベビーベッド対応,×,,
S004,生活サービス,高浜公衆便所,公衆トイレ,長野県諏訪郡下諏訪町11570,,,要座標確認,,毎日,,,,,,,,トイレを利用する,5-10,,,,,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E6%B5%9C%E5%85%AC%E8%A1%86%E4%BE%BF%E6%89%80%20%E4%B8%8B%E8%AB%8F%E8%A8%AA,下諏訪町公共施設個別施設計画,2026-08-26,公式情報確認済,,,要確認,○,○,屋内,○,○,多目的トイレあり,×,,
S005,生活サービス,慈雲寺下公衆便所,公衆トイレ,長野県諏訪郡下諏訪町573-5,,,要座標確認,,毎日,,,,,,,,トイレを利用する,5-10,,,,,https://www.google.com/maps/search/?api=1&query=%E6%85%88%E9%9B%B2%E5%AF%BA%E4%B8%8B%E5%85%AC%E8%A1%86%E4%BE%BF%E6%89%80,下諏訪町公共施設個別施設計画,2026-08-26,公式情報確認済,,,要確認,○,○,屋内,○,○,要確認,×,,
S006,交通・生活,友之町駐車場 レンタサイクル,レンタサイクル,長野県諏訪郡下諏訪町289,,,要座標確認,,毎日,3-10月 09:00-16:00 / 11-2月 09:00-15:30,年末年始・天候による休止,,,,,○,電動アシスト自転車・E-BIKEを借りる,10-30,,,,0266-27-0005,https://www.google.com/maps/search/?api=1&query=%E5%8F%8B%E4%B9%8B%E7%94%BA%E9%A7%90%E8%BB%8A%E5%A0%B4%20%E4%B8%8B%E8%AB%8F%E8%A8%AA,下諏訪町公式レンタサイクル,2026-08-26,公式情報確認済,,,×,○,△,両方,○,○,管理棟便所,○,,
S007,交通・生活,しもすわ今昔館おいでや レンタサイクル,レンタサイクル,長野県諏訪郡下諏訪町3289,,,要座標確認,,毎日,,, ,,,,,○,レンタサイクルを借りる,10-30,,,,0266-27-0001,https://www.google.com/maps/search/?api=1&query=%E3%81%97%E3%82%82%E3%81%99%E3%82%8F%E4%BB%8A%E6%98%94%E9%A4%A8%E3%81%8A%E3%81%84%E3%81%A7%E3%82%84,下諏訪町公式レンタサイクル,2026-08-26,公式情報確認済,,,×,○,○,屋内,要確認,要確認,要確認,○,
S008,交通・生活,JBT諏訪レンタサイクル（下諏訪駅）,レンタサイクル,長野県諏訪郡下諏訪町5317,,,要座標確認,,毎日,09:00-17:00,,,,,,,自転車を借りる・上諏訪方面と相互返却,10-30,,,,070-1549-6562,https://www.google.com/maps/search/?api=1&query=JBT%E8%AB%8F%E8%A8%AA%E3%83%AC%E3%83%B3%E3%82%BF%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E9%A7%85,下諏訪観光公式,2026-08-26,観光公式情報確認済,,,×,○,△,両方,要確認,要確認,要確認,○,,
C001,生活サービス,セブンイレブン下諏訪赤砂店,コンビニ,長野県諏訪郡下諏訪町東赤砂4495-1,,,要Google確認,,毎日,,,,,,,,買い物・飲食物購入・休憩,10-20,,, , ,0266-28-2205,https://www.google.com/maps/search/?api=1&query=%E3%82%BB%E3%83%96%E3%83%B3%E3%82%A4%E3%83%AC%E3%83%96%E3%83%B3%E4%B8%8B%E8%AB%8F%E8%A8%AA%E8%B5%A4%E7%A0%82%E5%BA%97,地図公開情報,2026-08-26,Google属性要取得,,,要確認,○,○,屋内,要確認,要確認,要確認,×,
C002,生活サービス,セブンイレブン下諏訪西大路店,コンビニ,長野県諏訪郡下諏訪町4354-2,36.06872148,138.07528983,外部地図座標,Mapion,毎日,,,,,,,,買い物・飲食物購入・休憩,10-20,,,,0266-27-4741,https://www.google.com/maps/search/?api=1&query=%E3%82%BB%E3%83%96%E3%83%B3%E3%82%A4%E3%83%AC%E3%83%96%E3%83%B3%E4%B8%8B%E8%AB%8F%E8%A8%AA%E8%A5%BF%E5%A4%A7%E8%B7%AF%E5%BA%97,地図公開情報,2026-08-26,Google属性要取得,,,要確認,○,○,屋内,要確認,要確認,要確認,×,,
